qid_qword, qwordDfByDayBeforeQuery 
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
MB25_airport	339	300	300	317	326	335	340	289	314	423	498	203	0	0	0	0	0	
MB25_screen	309	319	339	366	260	254	325	307	331	324	324	203	0	0	0	0	0	
MB26_unemploy	56	32	25	32	38	17	23	38	29	59	37	28	11	0	0	0	0	
MB27_reduc	116	129	99	91	68	72	104	104	115	113	96	73	8	0	0	0	0	
MB27_energi	408	413	417	403	281	291	371	366	393	519	315	269	54	0	0	0	0	
MB27_consumpt	16	12	18	17	14	6	12	14	10	15	13	7	4	0	0	0	0	
MB28_detroit	92	97	138	82	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB28_auto	403	433	403	305	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB28_show	2165	2091	2046	1666	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB29_global	242	202	212	333	310	291	284	289	189	198	290	281	321	333	285	199	9	
MB29_warm	256	234	252	280	391	550	493	304	215	255	271	280	252	279	338	287	15	
MB29_weather	53	46	64	83	94	130	159	72	53	53	76	64	74	72	85	60	3	
MB3_haiti	42	42	30	33	38	66	49	54	60	53	47	38	52	42	49	47	35	
MB3_aristid	22	6	2	2	0	3	7	25	2	4	1	2	1	2	5	5	7	
MB3_return	412	389	294	327	391	424	445	433	401	348	337	412	425	405	415	419	250	
MB30_keith	157	67	49	56	53	56	61	55	70	42	57	84	66	95	109	98	87	
MB30_olbermann	112	7	5	4	2	3	2	2	2	4	9	11	10	29	65	79	78	
MB30_job	532	576	411	445	645	572	651	580	583	429	515	601	662	880	848	796	511	
MB31_special	506	756	576	512	551	575	736	527	437	637	658	548	197	0	0	0	0	
MB31_olymp	46	48	68	43	43	39	40	54	43	54	52	47	8	0	0	0	0	
MB31_athlet	99	105	100	70	104	80	87	89	98	104	144	89	23	0	0	0	0	
MB32_state	490	451	468	434	328	370	506	548	1492	1026	539	327	37	0	0	0	0	
MB32_union	141	143	141	158	123	102	170	254	1195	673	223	117	15	0	0	0	0	
MB32_job	579	641	572	610	433	505	611	635	859	857	811	548	55	0	0	0	0	
MB33_dog	869	819	800	803	593	0	0	0	0	0	0	0	0	0	0	0	0	
MB33_whisper	63	68	82	65	51	0	0	0	0	0	0	0	0	0	0	0	0	
MB33_cesar	37	41	51	32	24	0	0	0	0	0	0	0	0	0	0	0	0	
MB33_millan	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
MB33_techniqu	68	76	73	55	43	0	0	0	0	0	0	0	0	0	0	0	0	
MB34_msnbc	22	31	26	33	39	17	23	38	37	56	65	77	45	0	0	0	0	
MB34_rachel	107	105	88	80	77	78	88	89	75	99	92	72	70	0	0	0	0	
MB34_maddow	10	8	11	9	2	3	7	10	6	10	7	1	5	0	0	0	0	
MB35_sargent	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB35_shriver	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB35_tribut	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB36_moscow	295	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB36_airport	545	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB36_bomb	271	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB37_gifford	10	0	1	9	6	4	9	24	75	25	29	25	0	0	0	0	0	
MB37_recoveri	53	107	84	78	58	69	93	91	87	108	66	51	0	0	0	0	0	
MB38_protest	467	462	553	854	431	307	319	142	95	45	0	0	0	0	0	0	0	
MB38_jordan	153	185	137	181	178	168	175	157	131	81	0	0	0	0	0	0	0	
MB39_egyptian	384	136	138	50	18	8	0	0	0	0	0	0	0	0	0	0	0	
MB39_curfew	68	6	6	6	10	3	0	0	0	0	0	0	0	0	0	0	0	
MB4_mexico	277	241	152	179	184	238	243	213	194	164	111	0	0	0	0	0	0	
MB4_drug	346	297	256	230	300	356	360	306	293	295	165	0	0	0	0	0	0	
MB4_war	401	293	308	290	380	343	321	444	428	348	217	0	0	0	0	0	0	
MB40_beck	36	30	35	62	47	38	54	42	34	0	0	0	0	0	0	0	0	
MB40_attack	273	246	251	358	279	339	351	335	201	0	0	0	0	0	0	0	0	
MB40_piven	6	8	8	5	2	7	5	6	7	0	0	0	0	0	0	0	0	
MB41_obama	273	302	529	500	657	2650	435	347	168	0	0	0	0	0	0	0	0	
MB41_birth	88	76	97	104	115	124	133	119	51	0	0	0	0	0	0	0	0	
MB41_certif	52	34	34	61	78	62	78	56	24	0	0	0	0	0	0	0	0	
MB42_holland	59	40	44	52	54	50	55	46	49	39	55	42	44	53	53	35	0	
MB42_iran	86	100	62	87	89	68	96	83	71	133	69	70	49	60	67	58	0	
MB42_envoy	14	16	11	4	8	7	13	5	5	0	2	4	5	4	2	1	0	
MB42_recal	66	59	38	65	73	49	69	60	50	63	50	86	169	75	60	40	0	
MB43_kucinich	11	9	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB43_oliv	115	105	128	185	99	88	31	0	0	0	0	0	0	0	0	0	0	
MB43_pit	127	122	134	104	104	154	51	0	0	0	0	0	0	0	0	0	0	
MB43_lawsuit	77	35	71	102	42	20	4	0	0	0	0	0	0	0	0	0	0	
MB44_white	1032	1064	1127	1038	1096	438	0	0	0	0	0	0	0	0	0	0	0	
MB44_hous	497	511	507	541	534	283	0	0	0	0	0	0	0	0	0	0	0	
MB44_spokesman	17	12	5	8	4	0	0	0	0	0	0	0	0	0	0	0	0	
MB44_replac	260	226	233	200	190	78	0	0	0	0	0	0	0	0	0	0	0	
MB45_polit	228	201	189	232	253	256	420	237	201	63	0	0	0	0	0	0	0	
MB45_campaign	180	114	75	135	185	167	175	167	112	45	0	0	0	0	0	0	0	
MB45_social	453	315	287	441	504	521	561	534	324	113	0	0	0	0	0	0	0	
MB45_media	600	453	401	555	636	612	636	654	363	135	0	0	0	0	0	0	0	
MB46_bottega	4	1	1	4	3	3	3	1	3	2	3	1	2	4	1	2	3	
MB46_veneta	2	2	0	3	3	3	3	1	1	0	1	1	4	1	1	0	2	
MB47_organ	215	171	182	237	268	266	286	227	215	207	221	225	213	227	211	182	1	
MB47_farm	91	64	112	112	123	130	133	130	85	89	94	123	131	118	116	80	1	
MB47_requir	229	144	137	171	196	192	232	178	121	138	183	195	197	186	196	114	2	
MB48_egyptian	409	571	651	181	141	119	19	19	2	0	0	0	0	0	0	0	0	
MB48_evacu	56	10	15	11	6	10	11	6	2	0	0	0	0	0	0	0	0	
MB49_carbon	59	37	30	23	38	31	35	43	34	32	0	0	0	0	0	0	0	
MB49_monoxid	4	4	1	3	4	3	3	8	3	2	0	0	0	0	0	0	0	
MB49_law	468	382	254	259	335	376	383	423	360	270	0	0	0	0	0	0	0	
MB5_nist	9	9	2	3	1	2	1	2	1	3	4	3	2	0	0	0	0	
MB5_comput	332	425	425	378	329	290	365	411	378	439	478	339	199	0	0	0	0	
MB5_secur	337	317	361	352	261	262	338	377	380	378	384	256	129	0	0	0	0	
MB6_nsa	7	3	6	6	6	5	7	3	4	6	9	4	8	6	14	12	2	
MB7_pakistan	64	50	41	69	78	100	57	87	74	42	95	64	48	55	63	51	64	
MB7_diplomat	17	18	6	24	30	31	29	41	15	21	27	16	19	10	14	15	22	
MB7_arrest	118	142	115	141	165	227	171	138	148	106	133	198	173	177	141	138	101	
MB7_murder	173	189	126	148	156	151	161	160	132	120	127	165	191	175	157	155	121	
MB8_phone	261	269	226	210	360	308	237	280	290	356	335	294	341	337	299	201	0	
MB8_hack	206	176	140	185	131	136	174	179	124	166	204	273	235	171	162	136	0	
MB8_british	131	114	128	152	139	163	164	190	127	101	152	133	150	162	139	96	0	
MB8_politician	25	31	35	35	36	41	20	24	31	37	38	43	84	47	42	17	0	
MB9_toyota	138	52	44	52	64	49	56	54	43	30	38	65	73	158	60	82	35	
MB9_recal	68	66	61	37	63	74	50	65	61	53	62	53	76	178	74	58	45	
