qid, relevantCountBydayBeforeQuery
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
209	2	0	1	0	1	0	1	1	0	0	0	2	0	1	1	2	2	1	1	2	12	5	12	7	7	4	9	3	4	22	26	37	163	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
210	6	0	0	6	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
211	6	2	3	0	1	2	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
212	2	0	6	0	2	0	1	5	3	4	3	4	10	0	5	0	1	1	0	2	0	4	6	10	7	5	1	1	1	3	1	0	0	1	1	2	2	5	12	2	0	0	1	1	0	4	1	0	0	0	0	0	5	4	1	10	2	0	0	
213	108	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
214	3	1	3	4	1	2	6	6	1	4	10	6	6	2	3	3	2	1	2	2	3	2	3	2	1	3	5	5	5	1	2	1	2	1	1	1	3	2	4	2	7	2	2	3	2	1	2	6	7	3	0	0	1	0	0	0	0	0	0	
215	2	0	2	1	1	5	5	3	1	1	0	2	2	0	1	0	0	1	0	4	3	1	9	4	11	13	4	2	2	2	2	17	5	0	4	1	10	6	2	4	1	3	1	1	1	1	6	5	8	72	50	8	2	4	4	4	5	2	0	
216	7	3	2	1	0	3	5	1	2	5	1	2	1	6	5	4	2	2	1	2	5	4	2	2	2	1	8	8	11	4	2	4	2	4	0	1	2	5	4	1	1	0	3	7	3	4	4	9	3	4	2	2	0	2	7	1	0	0	0	
217	12	7	3	2	1	5	2	2	15	1	0	0	0	1	1	0	0	0	0	2	1	0	0	4	3	1	2	2	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
218	25	1	1	2	1	5	3	15	30	153	179	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
219	0	0	0	0	1	1	6	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
220	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	1	1	0	1	3	1	0	0	1	2	0	0	0	2	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
221	15	30	131	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
222	0	1	0	1	5	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
223	3	0	1	0	0	0	4	0	1	2	4	0	1	4	3	1	2	2	1	2	2	0	1	2	1	0	3	2	1	1	0	0	1	1	1	0	2	1	4	2	1	2	1	0	1	0	0	2	4	0	2	1	0	1	2	3	2	0	0	
224	1	0	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
225	1	0	0	0	0	0	1	14	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
